title,description,published date,url,publisher__href,publisher__title,,category
"Toast will lay off 10% of its workforce, about 550 employees, as growth slows - CNBC","Toast will lay off 10% of its workforce, about 550 employees, as growth slows  CNBCToast (TOST) Reports Q4 Loss, Tops Revenue Estimates  Yahoo FinanceToast’s stock heats up on sales jump  MarketWatchToast cuts 550 jobs  The Boston Globe","Thu, 15 Feb 2024 22:25:04 GMT",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjQvMDIvMTUvdG9hc3Qtd2lsbC1yZWR1Y2Utd29ya2ZvcmNlLWJ5LTEwcGVyY2VudC1hcy1ncm93dGgtc2xvd3MuaHRtbNIBYWh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDI0LzAyLzE1L3RvYXN0LXdpbGwtcmVkdWNlLXdvcmtmb3JjZS1ieS0xMHBlcmNlbnQtYXMtZ3Jvd3RoLXNsb3dzLmh0bWw?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://www.cnbc.com,CNBC,,Technology
About that AMC Networks class action lawsuit settlement email. Here's what it means to you - USA TODAY,"About that AMC Networks class action lawsuit settlement email. Here's what it means to you  USA TODAYYes, the AMC settlement emails are real  VERIFYThis.comAMC Networks settles class-action lawsuit for $8.3 million  IMDbAMC to pay $8M for allegedly violating 1988 law with use of Meta Pixel  Ars TechnicaAMC Settles Class Action Lawsuit Regarding AMC+, HIDIVE, Other Services' Violations of Privacy Law  Anime News Network","Thu, 15 Feb 2024 23:43:22 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9tb25leS8yMDI0LzAyLzE1L2FtYy1jbGFzcy1hY3Rpb24tbGF3c3VpdC1zZXR0bGVtZW50LWVtYWlsLzcyNjE3OTc2MDA3L9IBAA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://www.usatoday.com,USA TODAY,,Entertainment
DoorDash Beats Estimates But Shares Fall After Big Run-Up - Yahoo Finance,"DoorDash Beats Estimates But Shares Fall After Big Run-Up  Yahoo FinanceDoorDash’s stock drops despite reporting increase in revenue, orders  MarketWatchDoorDash's rising labor costs weigh on Q1 profit outlook, shares fall  ReutersDoorDash orders and revenue beat Wall Street expectations despite disappointing net losses  ABC News","Thu, 15 Feb 2024 22:03:03 GMT",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9kb29yZGFzaC1iZWF0cy1lc3RpbWF0ZXMtc2hhcmVzLWZhbGwtMjIwMzAzMjMyLmh0bWzSAQA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://finance.yahoo.com,Yahoo Finance,,FoodAndDining
Retail sales fall 0.8% in January from December as shoppers pause after strong holiday season - The Associated Press,"Retail sales fall 0.8% in January from December as shoppers pause after strong holiday season  The Associated PressRetail sales tumbled 0.8% in January, much more than expected  CNBCRetail sales post steepest decline since March 2023  Yahoo FinanceRetail sales tumble much more than expected in January  Fox Business","Thu, 15 Feb 2024 21:43:00 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3JldGFpbC1zYWxlcy1pbmZsYXRpb24tZWNvbm9teS1hNzdiZWIwNTA0NWUzNWQ2OGRlZGEzNWY4ZWM2MmZjMtIBAA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://apnews.com,The Associated Press,,Retail
25+ Best Presidents Day Sales to Shop This Weekend 2024 - The Cut,"25+ Best Presidents Day Sales to Shop This Weekend 2024  The CutThe 40+ best early Presidents' Day Amazon deals to shop this week: Get up to 75% off vacuums, TVs and more  Yahoo LifeHere are the 25 best Presidents Day 2024 deals to shop at Walmart  CNN UnderscoredThe 75 Best Presidents Day Sales You Can Shop at Amazon, Target, Apple, More  PEOPLEAmazon Presidents' Day Sale 2024: Shop Home Tech, Vacuums, and More  Apartment Therapy","Thu, 15 Feb 2024 21:06:29 GMT",https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vd3d3LnRoZWN1dC5jb20vYXJ0aWNsZS9iZXN0LXByZXNpZGVudHMtZGF5LXNhbGVzLTIwMjQuaHRtbNIBAA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://www.thecut.com,The Cut,,Retail
Donald Trump's Truth Social Clears Final Hurdle to Become Publicly Traded Company - Gizmodo,"Donald Trump's Truth Social Clears Final Hurdle to Become Publicly Traded Company  GizmodoDonald Trump just got the green light to return to Wall Street  CNNTrump Media merger wins SEC approval, a windfall for the former president  The Washington PostTrump's Truth Social nears Wall Street listing that could yield millions  POLITICOSEC clears Trump's social media deal worth as much as $10 billion  Reuters","Thu, 15 Feb 2024 21:31:00 GMT",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vZ2l6bW9kby5jb20vZG9uYWxkLXRydW1wLXRydXRoLXNvY2lhbC1jbGVhcnMtaHVyZGxlLXB1YmxpY2x5LXRyYWRlZC0xODUxMjYwOTcz0gEA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://gizmodo.com,Gizmodo,,Finance
"SpaceX moves incorporation to Texas, as Elon Musk continues to blast Delaware - CBS News","SpaceX moves incorporation to Texas, as Elon Musk continues to blast Delaware  CBS NewsElon Musk moves SpaceX to Texas after Delaware revoked his Tesla salary package  Fox BusinessSpaceX Labor Fight With NLRB Moved to California by Texas Judge  BloombergElon Musk Says SpaceX Has Switched Incorporation to Texas  The New York TimesMusk's Tesla to Texas threat: What investors need to know  Yahoo Finance","Thu, 15 Feb 2024 22:08:00 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvdGVzbGEtZGVsYXdhcmUtZWxvbi1tdXNrLW1vdmVzLXNwYWNleC1pbmNvcnBvcmF0aW9uLXRvLXRleGFzL9IBXmh0dHBzOi8vd3d3LmNic25ld3MuY29tL2FtcC9uZXdzL3Rlc2xhLWRlbGF3YXJlLWVsb24tbXVzay1tb3Zlcy1zcGFjZXgtaW5jb3Jwb3JhdGlvbi10by10ZXhhcy8?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://www.cbsnews.com,CBS News,,LegalSevices
Japan just lost its crown as the world’s third-largest economy - CNN,"Japan just lost its crown as the world’s third-largest economy  CNNJapan slipped into a technical recession. The Bank of Japan has to juggle supporting the yen and fragile growth  CNBCU.K. becomes 2nd G7 economy to fall into recession  Global NewsJapan unexpectedly slips into a recession  BBC.comJapan, UK hit by recession reality as US economy remains resilient  Axios","Thu, 15 Feb 2024 22:28:50 GMT",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wMi8xNC9lY29ub215L2phcGFuLWVjb25vbXktcmVjZXNzaW9uLWhuay1pbnRsL2luZGV4Lmh0bWzSAVZodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDI0LzAyLzE0L2Vjb25vbXkvamFwYW4tZWNvbm9teS1yZWNlc3Npb24taG5rLWludGwvaW5kZXguaHRtbA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://www.cnn.com,CNN,,Finance
"Coinbase cites stablecoins, Base as key 2024 priorities after crushing Q4 estimates - TechCrunch","Coinbase cites stablecoins, Base as key 2024 priorities after crushing Q4 estimates  TechCrunchDecoding Coinbase Global Inc (COIN): A Strategic SWOT Insight  Yahoo FinanceCoinbase’s stock soars after crypto platform swings to profit  MarketWatchCoinbase Spikes After Earnings, Revenue Blast Past Forecasts  Investor's Business Daily","Thu, 15 Feb 2024 22:10:47 GMT",https://news.google.com/rss/articles/CBMidWh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAyNC8wMi8xNS9jb2luYmFzZS1jaXRlcy1zdGFibGVjb2lucy1iYXNlLWFzLWtleS0yMDI0LXByaW9yaXRpZXMtYWZ0ZXItY3J1c2hpbmctcTQtZXN0aW1hdGVzL9IBAA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://techcrunch.com,TechCrunch,,Technology
Wiggly Maggots Fall On Delta Passenger From Overhead Bin - HuffPost,Wiggly Maggots Fall On Delta Passenger From Overhead Bin  HuffPostDelta flight forced back to Amsterdam after maggots fall onto passenger  CNNMaggots fall on woman during Delta flight to Detroit: 'She was freaking out'  FOX 2 DetroitShower of maggots forces plane to reverse course mid-flight  cleveland.comDelta flight makes U-turn after maggots fall on passenger from overhead bin  Business Insider,"Thu, 15 Feb 2024 21:50:22 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3Lmh1ZmZwb3N0LmNvbS9lbnRyeS9tYWdnb3RzLWRlbHRhLWFpci1saW5lcy1mbGlnaHRfbl82NWNlNmRiNGU0YjA0M2YxYzBhYTY5ZGXSAVxodHRwczovL3d3dy5odWZmcG9zdC5jb20vZW50cnkvbWFnZ290cy1kZWx0YS1haXItbGluZXMtZmxpZ2h0X25fNjVjZTZkYjRlNGIwNDNmMWMwYWE2OWRlL2FtcA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://www.huffpost.com,HuffPost,,TravelAndHospitality
